date,スイッチ2,isPartial
2020-12-06,3,False
2020-12-13,3,False
2020-12-20,3,False
2020-12-27,4,False
2021-01-03,3,False
2021-01-10,3,False
2021-01-17,2,False
2021-01-24,3,False
2021-01-31,3,False
2021-02-07,3,False
2021-02-14,2,False
2021-02-21,3,False
2021-02-28,2,False
2021-03-07,2,False
2021-03-14,2,False
2021-03-21,2,False
2021-03-28,2,False
2021-04-04,2,False
2021-04-11,2,False
2021-04-18,2,False
2021-04-25,2,False
2021-05-02,2,False
2021-05-09,2,False
2021-05-16,2,False
2021-05-23,2,False
2021-05-30,2,False
2021-06-06,2,False
2021-06-13,2,False
2021-06-20,2,False
2021-06-27,2,False
2021-07-04,2,False
2021-07-11,2,False
2021-07-18,2,False
2021-07-25,2,False
2021-08-01,2,False
2021-08-08,2,False
2021-08-15,2,False
2021-08-22,2,False
2021-08-29,2,False
2021-09-05,2,False
2021-09-12,2,False
2021-09-19,2,False
2021-09-26,2,False
2021-10-03,2,False
2021-10-10,2,False
2021-10-17,2,False
2021-10-24,2,False
2021-10-31,2,False
2021-11-07,2,False
2021-11-14,2,False
2021-11-21,2,False
2021-11-28,2,False
2021-12-05,2,False
2021-12-12,2,False
2021-12-19,3,False
2021-12-26,3,False
2022-01-02,3,False
2022-01-09,2,False
2022-01-16,2,False
2022-01-23,2,False
2022-01-30,2,False
2022-02-06,2,False
2022-02-13,2,False
2022-02-20,2,False
2022-02-27,2,False
2022-03-06,2,False
2022-03-13,2,False
2022-03-20,2,False
2022-03-27,2,False
2022-04-03,2,False
2022-04-10,1,False
2022-04-17,2,False
2022-04-24,2,False
2022-05-01,2,False
2022-05-08,2,False
2022-05-15,1,False
2022-05-22,2,False
2022-05-29,1,False
2022-06-05,1,False
2022-06-12,1,False
2022-06-19,1,False
2022-06-26,2,False
2022-07-03,1,False
2022-07-10,2,False
2022-07-17,2,False
2022-07-24,2,False
2022-07-31,2,False
2022-08-07,2,False
2022-08-14,2,False
2022-08-21,2,False
2022-08-28,2,False
2022-09-04,2,False
2022-09-11,2,False
2022-09-18,2,False
2022-09-25,2,False
2022-10-02,2,False
2022-10-09,2,False
2022-10-16,1,False
2022-10-23,1,False
2022-10-30,2,False
2022-11-06,1,False
2022-11-13,2,False
2022-11-20,2,False
2022-11-27,2,False
2022-12-04,2,False
2022-12-11,2,False
2022-12-18,2,False
2022-12-25,3,False
2023-01-01,2,False
2023-01-08,2,False
2023-01-15,2,False
2023-01-22,2,False
2023-01-29,1,False
2023-02-05,2,False
2023-02-12,1,False
2023-02-19,2,False
2023-02-26,1,False
2023-03-05,1,False
2023-03-12,1,False
2023-03-19,1,False
2023-03-26,1,False
2023-04-02,1,False
2023-04-09,1,False
2023-04-16,1,False
2023-04-23,1,False
2023-04-30,1,False
2023-05-07,1,False
2023-05-14,1,False
2023-05-21,1,False
2023-05-28,1,False
2023-06-04,1,False
2023-06-11,1,False
2023-06-18,1,False
2023-06-25,1,False
2023-07-02,1,False
2023-07-09,2,False
2023-07-16,2,False
2023-07-23,2,False
2023-07-30,2,False
2023-08-06,2,False
2023-08-13,2,False
2023-08-20,1,False
2023-08-27,1,False
2023-09-03,1,False
2023-09-10,2,False
2023-09-17,2,False
2023-09-24,1,False
2023-10-01,2,False
2023-10-08,2,False
2023-10-15,2,False
2023-10-22,2,False
2023-10-29,2,False
2023-11-05,2,False
2023-11-12,2,False
2023-11-19,2,False
2023-11-26,2,False
2023-12-03,2,False
2023-12-10,2,False
2023-12-17,2,False
2023-12-24,2,False
2023-12-31,2,False
2024-01-07,2,False
2024-01-14,2,False
2024-01-21,2,False
2024-01-28,2,False
2024-02-04,2,False
2024-02-11,2,False
2024-02-18,2,False
2024-02-25,2,False
2024-03-03,2,False
2024-03-10,1,False
2024-03-17,2,False
2024-03-24,2,False
2024-03-31,1,False
2024-04-07,1,False
2024-04-14,1,False
2024-04-21,1,False
2024-04-28,2,False
2024-05-05,1,False
2024-05-12,2,False
2024-05-19,1,False
2024-05-26,1,False
2024-06-02,1,False
2024-06-09,1,False
2024-06-16,1,False
2024-06-23,1,False
2024-06-30,2,False
2024-07-07,2,False
2024-07-14,2,False
2024-07-21,2,False
2024-07-28,2,False
2024-08-04,1,False
2024-08-11,2,False
2024-08-18,1,False
2024-08-25,2,False
2024-09-01,2,False
2024-09-08,2,False
2024-09-15,2,False
2024-09-22,2,False
2024-09-29,1,False
2024-10-06,2,False
2024-10-13,2,False
2024-10-20,2,False
2024-10-27,2,False
2024-11-03,2,False
2024-11-10,2,False
2024-11-17,2,False
2024-11-24,2,False
2024-12-01,2,False
2024-12-08,2,False
2024-12-15,2,False
2024-12-22,3,False
2024-12-29,4,False
2025-01-05,4,False
2025-01-12,23,False
2025-01-19,9,False
2025-01-26,5,False
2025-02-02,4,False
2025-02-09,3,False
2025-02-16,4,False
2025-02-23,4,False
2025-03-02,4,False
2025-03-09,3,False
2025-03-16,4,False
2025-03-23,5,False
2025-03-30,100,False
2025-04-06,35,False
2025-04-13,21,False
2025-04-20,70,False
2025-04-27,29,False
2025-05-04,21,False
2025-05-11,25,False
2025-05-18,34,False
2025-05-25,23,False
2025-06-01,71,False
2025-06-08,46,False
2025-06-15,40,False
