Date,9202.T,9201.T
2020-12-14 00:00:00+09:00,2380.780517578125,1852.0067138671875
2020-12-15 00:00:00+09:00,2193.75,1788.5250244140625
2020-12-16 00:00:00+09:00,2178.806884765625,1805.0853271484375
2020-12-17 00:00:00+09:00,2125.782958984375,1754.484130859375
2020-12-18 00:00:00+09:00,2166.27392578125,1773.8046875
2020-12-19 00:00:00+09:00,2166.27392578125,1773.8046875
2020-12-20 00:00:00+09:00,2166.27392578125,1773.8046875
2020-12-21 00:00:00+09:00,2123.37255859375,1757.2442626953125
2020-12-22 00:00:00+09:00,2073.722900390625,1716.76318359375
2020-12-23 00:00:00+09:00,2078.061279296875,1724.1234130859375
2020-12-24 00:00:00+09:00,2105.055419921875,1754.484130859375
2020-12-25 00:00:00+09:00,2101.680908203125,1748.9639892578125
2020-12-26 00:00:00+09:00,2101.680908203125,1748.9639892578125
2020-12-27 00:00:00+09:00,2101.680908203125,1748.9639892578125
2020-12-28 00:00:00+09:00,2071.312744140625,1712.1630859375
2020-12-29 00:00:00+09:00,2169.166259765625,1783.0047607421875
2020-12-30 00:00:00+09:00,2195.196044921875,1835.4461669921875
2020-12-31 00:00:00+09:00,2195.196044921875,1835.4461669921875
2021-01-01 00:00:00+09:00,2195.196044921875,1835.4461669921875
2021-01-02 00:00:00+09:00,2195.196044921875,1835.4461669921875
2021-01-03 00:00:00+09:00,2195.196044921875,1835.4461669921875
2021-01-04 00:00:00+09:00,2151.812744140625,1771.964599609375
2021-01-05 00:00:00+09:00,2125.30078125,1754.484130859375
2021-01-06 00:00:00+09:00,2119.99853515625,1789.445068359375
2021-01-07 00:00:00+09:00,2112.767822265625,1777.4847412109375
2021-01-08 00:00:00+09:00,2105.537353515625,1755.4041748046875
2021-01-09 00:00:00+09:00,2105.537353515625,1755.4041748046875
2021-01-10 00:00:00+09:00,2105.537353515625,1755.4041748046875
2021-01-11 00:00:00+09:00,2105.537353515625,1755.4041748046875
2021-01-12 00:00:00+09:00,2175.4326171875,1754.484130859375
2021-01-13 00:00:00+09:00,2198.08837890625,1747.1239013671875
2021-01-14 00:00:00+09:00,2199.534423828125,1737.003662109375
2021-01-15 00:00:00+09:00,2200.016357421875,1740.68359375
2021-01-16 00:00:00+09:00,2200.016357421875,1740.68359375
2021-01-17 00:00:00+09:00,2200.016357421875,1740.68359375
2021-01-18 00:00:00+09:00,2194.232177734375,1730.5635986328125
2021-01-19 00:00:00+09:00,2227.0107421875,1768.284423828125
2021-01-20 00:00:00+09:00,2152.294677734375,1737.003662109375
2021-01-21 00:00:00+09:00,2160.007568359375,1748.9639892578125
2021-01-22 00:00:00+09:00,2130.121337890625,1742.523681640625
2021-01-23 00:00:00+09:00,2130.121337890625,1742.523681640625
2021-01-24 00:00:00+09:00,2130.121337890625,1742.523681640625
2021-01-25 00:00:00+09:00,2152.77685546875,1738.8438720703125
2021-01-26 00:00:00+09:00,2128.19287109375,1712.1630859375
2021-01-27 00:00:00+09:00,2115.17822265625,1681.802490234375
2021-01-28 00:00:00+09:00,2193.26806640625,1760.0042724609375
2021-01-29 00:00:00+09:00,2140.243896484375,1714.003173828125
2021-01-30 00:00:00+09:00,2140.243896484375,1714.003173828125
2021-01-31 00:00:00+09:00,2140.243896484375,1714.003173828125
2021-02-01 00:00:00+09:00,2141.2080078125,1714.923095703125
2021-02-02 00:00:00+09:00,2178.324951171875,1752.6441650390625
2021-02-03 00:00:00+09:00,2241.4716796875,1867.64697265625
2021-02-04 00:00:00+09:00,2233.759033203125,1895.2476806640625
2021-02-05 00:00:00+09:00,2283.89111328125,2033.2513427734375
2021-02-06 00:00:00+09:00,2283.89111328125,2033.2513427734375
2021-02-07 00:00:00+09:00,2283.89111328125,2033.2513427734375
2021-02-08 00:00:00+09:00,2302.690185546875,2045.21142578125
2021-02-09 00:00:00+09:00,2281.480712890625,2026.8111572265625
2021-02-10 00:00:00+09:00,2293.53173828125,2040.6114501953125
2021-02-11 00:00:00+09:00,2293.53173828125,2040.6114501953125
2021-02-12 00:00:00+09:00,2305.1005859375,2060.851806640625
2021-02-13 00:00:00+09:00,2305.1005859375,2060.851806640625
2021-02-14 00:00:00+09:00,2305.1005859375,2060.851806640625
2021-02-15 00:00:00+09:00,2271.840087890625,2043.371337890625
2021-02-16 00:00:00+09:00,2312.3310546875,2077.412109375
2021-02-17 00:00:00+09:00,2409.220458984375,2164.814453125
2021-02-18 00:00:00+09:00,2428.501953125,2183.215087890625
2021-02-19 00:00:00+09:00,2333.540771484375,2102.252685546875
2021-02-20 00:00:00+09:00,2333.540771484375,2102.252685546875
2021-02-21 00:00:00+09:00,2333.540771484375,2102.252685546875
2021-02-22 00:00:00+09:00,2458.870361328125,2222.77587890625
2021-02-23 00:00:00+09:00,2458.870361328125,2222.77587890625
2021-02-24 00:00:00+09:00,2510.930419921875,2302.818115234375
2021-02-25 00:00:00+09:00,2509.484130859375,2328.57861328125
2021-02-26 00:00:00+09:00,2462.244384765625,2327.658447265625
2021-02-27 00:00:00+09:00,2462.244384765625,2327.658447265625
2021-02-28 00:00:00+09:00,2462.244384765625,2327.658447265625
2021-03-01 00:00:00+09:00,2483.936279296875,2349.739013671875
2021-03-02 00:00:00+09:00,2430.912109375,2267.85693359375
2021-03-03 00:00:00+09:00,2485.38232421875,2344.21875
2021-03-04 00:00:00+09:00,2442.963134765625,2303.738037109375
2021-03-05 00:00:00+09:00,2439.5888671875,2306.498291015625
2021-03-06 00:00:00+09:00,2439.5888671875,2306.498291015625
